name
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD AZUCARERA TUCUMANA
OBRA SOCIAL DEL PERSONAL DE PANADERIAS
OBRA SOCIAL DE TRABAJADORES DE LA INDUSTRIA DEL GAS
OBRA SOCIAL DE TRABAJADORES DEL PETROLEO Y GAS PRIVADO DEL CHUBUT
OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS
OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIMICAS
OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE ENTRE RIOS
OBRA SOCIAL DEL PERSONAL CINEMATOGRAFICO DE MAR DEL PLATA
OBRA SOCIAL CONDUCTORES DE TAXIS DE CORDOBA
"OBRA SOCIAL DEL PERSONAL DE LA CERAMICA, SANITARIOS, PORCELANA DE MESA Y AFINES"
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA CINEMATOGRAFICA
OBRA SOCIAL DE JEFES Y OFICIALES NAVALES DE RADIOCOMUNICACIONES
OBRA SOCIAL DE LOS  SUPERVISORES DE LA INDUSTRIA METALMECANICA DE LA REPUBLICA ARGENTINA
OBRA SOCIAL DE LA INDUSTRIA DE PASTAS ALIMENTICIAS
OBRA SOCIAL DE MUSICOS
OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES
OBRA SOCIAL DE RECIBIDORES DE GRANOS Y ANEXOS
"OBRA SOCIAL DE PANADEROS, PASTELEROS Y FACTUREROS DE ENTRE RIOS"
"OBRA SOCIAL DEL PERSONAL DE VIGILANCIA Y SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS DE CORDOBA"
OBRA SOCIAL DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGENTINA
OBRA SOCIAL DE LOS PROFESIONALES UNIVERSITARIOS DEL AGUA Y LA ENERGIA ELECTRICA
OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGENTINA
OBRA SOCIAL DE COMISARIOS NAVALES
OBRA SOCIAL DE LA UNION DE TRABAJADORES DEL INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS DE LA REPUBLICA ARGENTINA
OBRA SOCIAL DEL PERSONAL DE LA FEDERACION DE SINDICATOS DE LA INDUSTRIA QUIMICA Y PETROQUIMICA
OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA
OBRA SOCIAL DEL SINDICATO UNICO DE RECOLECTORES DE RESIDUOS Y BARRIDO DE CORDOBA
OBRA SOCIAL DEL PERSONAL DE PRENSA DE MENDOZA
OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES
OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD PERFUMISTA
"OBRA SOCIAL DEL PERSONAL DEL PAPEL, CARTON Y QUIMICOS"
OBRA SOCIAL DE ENCARGADOS APUNTADORES MARITIMOS
OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUERTOS
"OBRA SOCIAL DEL PERSONAL DE BARRACAS DE LANAS, CUEROS Y ANEXOS"
OBRA SOCIAL DE LOS TRABAJADORES ARGENTINOS DE CENTROS DE CONTACTOS
OBRA SOCIAL DE LA INDUSTRIA DEL TRANSPORTE  AUTOMOTOR DE CORDOBA
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FOSFORO, ENCENDIDO Y AFINES"
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA AZUCARERA
OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PLASTICO
